year,source_id,source,reserved_t_per_year,contract_period_fraction,scheduled_t,delivered_t,top_minimum_t,paid_quantity_t,paid_unused_t,unit_price_mln_per_t,procurement_mln,reservation_rate_mln_per_t_year,reservation_mln
2034,B,Earth-Flex,110.0,0.120548,12.984293,12.984293,0.0,12.984293,0.0,8.9,115.560209,0.15,1.989041
2035,A,Earth-Core,190.0,1.0,133.0,133.0,133.0,133.0,0.0,6.2,824.6,0.45,85.5
2035,B,Earth-Flex,110.0,1.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.15,16.5
2035,E,Emergency,80.0,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2036,A,Earth-Core,190.0,1.0,133.0,133.0,133.0,133.0,0.0,6.2,824.6,0.45,85.5
2036,B,Earth-Flex,110.0,1.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.15,16.5
2036,E,Emergency,80.0,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2037,A,Earth-Core,190.0,1.0,133.0,133.0,133.0,133.0,0.0,6.2,824.6,0.45,85.5
2037,B,Earth-Flex,110.0,1.0,99.006004,99.006004,0.0,99.006004,0.0,8.9,881.153432,0.15,16.5
2037,E,Emergency,80.0,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2038,A,Earth-Core,190.0,1.0,190.0,190.0,133.0,190.0,0.0,7.75,1472.5,0.45,85.5
2038,B,Earth-Flex,110.0,1.0,73.232877,73.232877,0.0,73.232877,0.0,11.125,814.715753,0.15,16.5
2038,E,Emergency,80.0,1.0,70.794521,70.794521,0.0,70.794521,0.0,13.8,976.964384,0.35,28.0
2039,A,Earth-Core,190.0,1.0,190.0,190.0,133.0,190.0,0.0,7.75,1472.5,0.45,85.5
2039,B,Earth-Flex,110.0,1.0,110.0,110.0,0.0,110.0,0.0,11.125,1223.75,0.15,16.5
2039,E,Emergency,80.0,1.0,80.0,80.0,0.0,80.0,0.0,13.8,1104.0,0.35,28.0
2040,A,Earth-Core,190.0,1.0,190.0,190.0,133.0,190.0,0.0,6.2,1178.0,0.45,85.5
2040,B,Earth-Flex,110.0,1.0,110.0,110.0,0.0,110.0,0.0,8.9,979.0,0.15,16.5
2040,E,Emergency,80.0,1.0,80.0,80.0,0.0,80.0,0.0,13.8,1104.0,0.35,28.0
