year,source_id,source,reserved_t_per_year,contract_period_fraction,scheduled_t,delivered_t,top_minimum_t,paid_quantity_t,paid_unused_t,unit_price_mln_per_t,procurement_mln,reservation_rate_mln_per_t_year,reservation_mln
2034,B,Earth-Flex,110.0,0.120548,12.984293,12.984293,0.0,12.984293,0.0,8.9,115.560209,0.15,1.989041
2035,A,Earth-Core,190.0,1.0,133.0,133.0,133.0,133.0,0.0,6.2,824.6,0.45,85.5
2035,B,Earth-Flex,110.0,1.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.15,16.5
2035,E,Emergency,80.0,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2036,A,Earth-Core,190.0,1.0,133.0,133.0,133.0,133.0,0.0,6.2,824.6,0.45,85.5
2036,B,Earth-Flex,110.0,1.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.15,16.5
2036,E,Emergency,80.0,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2037,A,Earth-Core,190.0,1.0,133.0,133.0,133.0,133.0,0.0,6.2,824.6,0.45,85.5
2037,B,Earth-Flex,110.0,1.0,31.222963,31.222963,0.0,31.222963,0.0,8.9,277.884373,0.15,16.5
2037,C,Earth-New,130.0,0.50411,32.767123,32.767123,32.767123,32.767123,0.0,7.1,232.646575,0.3,19.660274
2037,E,Emergency,80.0,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2038,A,Earth-Core,190.0,1.0,190.0,190.0,133.0,190.0,0.0,7.75,1472.5,0.45,85.5
2038,B,Earth-Flex,110.0,1.0,39.265709,39.265709,0.0,39.265709,0.0,11.125,436.831013,0.15,16.5
2038,C,Earth-New,130.0,1.0,71.771394,71.771394,65.0,71.771394,0.0,7.1,509.576895,0.3,39.0
2038,E,Emergency,80.0,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2039,A,Earth-Core,190.0,1.0,190.0,190.0,133.0,190.0,0.0,7.75,1472.5,0.45,85.5
2039,B,Earth-Flex,110.0,1.0,62.514836,62.514836,0.0,62.514836,0.0,11.125,695.477546,0.15,16.5
2039,C,Earth-New,130.0,1.0,130.0,130.0,65.0,130.0,0.0,7.1,923.0,0.3,39.0
2039,E,Emergency,80.0,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2040,A,Earth-Core,190.0,1.0,190.0,190.0,133.0,190.0,0.0,6.2,1178.0,0.45,85.5
2040,B,Earth-Flex,110.0,1.0,110.0,110.0,0.0,110.0,0.0,8.9,979.0,0.15,16.5
2040,C,Earth-New,130.0,1.0,130.0,130.0,65.0,130.0,0.0,7.1,923.0,0.3,39.0
2040,E,Emergency,80.0,1.0,23.947368,23.947368,0.0,23.947368,0.0,13.8,330.473684,0.35,28.0
