plan_id,strategy,scenario_id,feasible,hard_violations,reference_breaches,total_expense_mln,discounted_expense_mln,cost_per_served_t_mln,pv_per_served_t_mln,served_total_t,demand_total_t,shortage_total_t,shortage_critical_t,SL_total_min,SL_critical_min,cumulative_capex_mln,capex_through_2037_mln,capex_headroom_2037_mln,closing_inventory_t,min_reserve_margin_t,unused_flex_t,unused_emergency_t,procurement_mln,reservation_mln,holding_mln,opex_mln,capex_mln,violations
invalid_demo_no_earth_new,invalid_demo,BASE,False,15,0,8143.511036,6770.296157,7.554851,6.2809,1077.918137,1390.0,312.081863,9.809863,0.625594,0.953286,180.0,180.0,1620.0,0.0,-48.082192,572.917543,480.0,6949.859938,780.0,55.551491,60.0,180.0,BASE_CRITICAL_SERVICE@2039; BASE_TOTAL_SERVICE@2038; BASE_TOTAL_SERVICE@2039; BASE_TOTAL_SERVICE@2040; RESERVE_45D@2038-01-01; RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01; SOURCE_NOT_AVAILABLE@2037; SOURCE_NOT_AVAILABLE@2037-07-01; SOURCE_NOT_AVAILABLE@2038; SOURCE_NOT_AVAILABLE@2038-01-01; SOURCE_NOT_AVAILABLE@2039; SOURCE_NOT_AVAILABLE@2039-01-01; SOURCE_NOT_AVAILABLE@2040; SOURCE_NOT_AVAILABLE@2040-01-01
invalid_demo_no_earth_new,invalid_demo,MANDATORY_STRESS,False,11,6,8760.594088,7256.792947,8.127328,6.73223,1077.918137,1534.0,456.081863,75.029863,0.543995,0.828945,180.0,180.0,1620.0,0.0,-55.294521,572.917543,480.0,7566.94299,780.0,55.551491,60.0,180.0,RESERVE_45D@2038-01-01; RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01; SOURCE_NOT_AVAILABLE@2037; SOURCE_NOT_AVAILABLE@2037-07-01; SOURCE_NOT_AVAILABLE@2038; SOURCE_NOT_AVAILABLE@2038-01-01; SOURCE_NOT_AVAILABLE@2039; SOURCE_NOT_AVAILABLE@2039-01-01; SOURCE_NOT_AVAILABLE@2040; SOURCE_NOT_AVAILABLE@2040-01-01
S0,S0,BASE,True,0,0,12043.624064,9732.818247,8.664478,7.002028,1390.0,1390.0,0.0,0.0,1.0,1.0,180.0,180.0,1620.0,48.082192,0.0,366.193942,352.641562,10736.076597,780.0,169.44786,60.0,180.0,
S0,S0,MANDATORY_STRESS,False,3,2,12947.006013,10447.527516,9.002967,7.264903,1438.082192,1534.0,95.917808,0.0,0.837101,1.0,180.0,180.0,1620.0,0.0,-55.294521,366.193942,352.641562,11729.517948,780.0,79.388458,60.0,180.0,RESERVE_45D@2038-01-01; RESERVE_45D@2039-01-01; RESERVE_45D@2040-01-01
S0_stress_prepared,S0,BASE,False,3,0,13665.000917,11064.4774,9.830936,7.960056,1390.0,1390.0,0.0,0.0,1.0,1.0,180.0,180.0,1620.0,104.411397,0.071233,254.24258,320.0,12182.897267,780.0,344.004044,60.0,180.0,STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S0_stress_prepared,S0,MANDATORY_STRESS,False,2,0,14714.262428,11894.474784,9.592088,7.753895,1534.0,1534.0,0.0,0.0,1.0,1.0,180.0,180.0,1620.0,45.911397,0.071233,254.24258,320.0,13261.397267,780.0,314.765554,60.0,180.0,STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S0_stress_reactive,S0,BASE,False,4,0,14134.605615,11438.610477,10.168781,8.229216,1390.0,1390.0,0.0,0.0,1.0,1.0,180.0,180.0,1620.0,104.411397,0.071233,268.037101,249.205479,12683.690418,780.0,312.81559,60.0,180.0,EMERGENCY_BASE_STREAK@2035_2040; STORAGE_OVERFLOW@2038; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S0_stress_reactive,S0,MANDATORY_STRESS,False,3,0,15097.439275,12198.056991,9.841877,7.951797,1534.0,1534.0,0.0,0.0,1.0,1.0,180.0,180.0,1620.0,45.911397,0.071233,268.037101,249.205479,13680.383569,780.0,278.9561,60.0,180.0,EMERGENCY_BASE_STREAK@2035_2040; STORAGE_OVERFLOW@2039; STORAGE_OVERFLOW@2040
S0min,S0min,BASE,True,0,0,11076.13401,9111.975516,7.968442,6.555378,1390.0,1390.0,0.0,0.0,1.0,1.0,180.0,180.0,1620.0,0.0,0.071233,287.501689,480.0,9678.891194,780.0,259.143209,60.0,180.0,
S0min,S0min,MANDATORY_STRESS,False,1,1,12063.313401,9894.840378,8.678643,7.11859,1390.0,1534.0,144.0,0.0,0.67893,1.0,180.0,180.0,1620.0,0.0,-47.194521,287.501689,480.0,10757.391194,780.0,167.8226,60.0,180.0,RESERVE_45D@2040-01-01
