year,source_id,source,reserved_t_per_year,contract_period_fraction,scheduled_t,delivered_t,top_minimum_t,paid_quantity_t,paid_unused_t,unit_price_mln_per_t,procurement_mln,reservation_rate_mln_per_t_year,reservation_mln
2034,B,Earth-Flex,110.0,0.120548,12.984293,12.984293,0.0,12.984293,0.0,8.9,115.560209,0.15,1.989041
2035,A,Earth-Core,190,1.0,133.0,133.0,133.0,133.0,0.0,6.2,824.6,0.45,85.5
2035,B,Earth-Flex,110,1.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.15,16.5
2035,E,Emergency,80,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2036,A,Earth-Core,190,1.0,133.0,133.0,133.0,133.0,0.0,6.2,824.6,0.45,85.5
2036,B,Earth-Flex,110,1.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.15,16.5
2036,E,Emergency,80,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2037,A,Earth-Core,190,1.0,133.0,133.0,133.0,133.0,0.0,6.2,824.6,0.45,85.5
2037,B,Earth-Flex,110,1.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.15,16.5
2037,C,Earth-New,130,1.0,65.0,65.0,65.0,65.0,0.0,7.1,461.5,0.3,39.0
2037,E,Emergency,80,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2038,A,Earth-Core,190,1.0,169.027189,169.027189,133.0,169.027189,0.0,7.75,1309.960717,0.45,85.5
2038,B,Earth-Flex,110,1.0,0.0,0.0,0.0,0.0,0.0,11.125,0.0,0.15,16.5
2038,C,Earth-New,130,1.0,65.0,65.0,65.0,65.0,0.0,7.1,461.5,0.3,39.0
2038,D,Lunar-ISRU,0.0,0.0,120.0,66.0,0.0,120.0,0.0,3.0,360.0,0.0,0.0
2038,E,Emergency,80,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2039,A,Earth-Core,190,1.0,190.0,190.0,133.0,190.0,0.0,7.75,1472.5,0.45,85.5
2039,B,Earth-Flex,110,1.0,0.0,0.0,0.0,0.0,0.0,11.125,0.0,0.15,16.5
2039,C,Earth-New,130,1.0,102.514836,102.514836,65.0,102.514836,0.0,7.1,727.855332,0.3,39.0
2039,D,Lunar-ISRU,0.0,0.0,120.0,90.0,0.0,120.0,0.0,3.0,360.0,0.0,0.0
2039,E,Emergency,80,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2040,A,Earth-Core,190,1.0,190.0,190.0,133.0,190.0,0.0,6.2,1178.0,0.45,85.5
2040,B,Earth-Flex,110,1.0,29.438311,29.438311,0.0,29.438311,0.0,8.9,262.000969,0.15,16.5
2040,C,Earth-New,130,1.0,130.0,130.0,65.0,130.0,0.0,7.1,923.0,0.3,39.0
2040,D,Lunar-ISRU,0.0,0.0,120.0,120.0,0.0,120.0,0.0,3.0,360.0,0.0,0.0
2040,E,Emergency,80,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
2041,A,Earth-Core,190,1.0,190.0,190.0,133.0,190.0,0.0,6.2,1178.0,0.45,85.5
2041,B,Earth-Flex,110,1.0,110.0,110.0,0.0,110.0,0.0,8.9,979.0,0.15,16.5
2041,C,Earth-New,130,1.0,130.0,130.0,65.0,130.0,0.0,7.1,923.0,0.3,39.0
2041,D,Lunar-ISRU,0.0,0.0,120.0,120.0,0.0,120.0,0.0,3.0,360.0,0.0,0.0
2041,E,Emergency,80,1.0,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.35,28.0
