rule_id,scenario,period,actual,limit,excess,unit,cause,severity
SOURCE_NOT_AVAILABLE,BASE,2037,130.0,0,130.0,t/year,Earth-New is not available (investment missing or not commissioned),hard
SOURCE_NOT_AVAILABLE,BASE,2038,130.0,0,130.0,t/year,Earth-New is not available (investment missing or not commissioned),hard
SOURCE_NOT_AVAILABLE,BASE,2039,130.0,0,130.0,t/year,Earth-New is not available (investment missing or not commissioned),hard
SOURCE_NOT_AVAILABLE,BASE,2040,130.0,0,130.0,t/year,Earth-New is not available (investment missing or not commissioned),hard
SOURCE_NOT_AVAILABLE,BASE,2037-07-01,32.767123,0,32.767123,t,Earth-New: order on a source that is not available (investment missing),hard
SOURCE_NOT_AVAILABLE,BASE,2038-01-01,71.771394,0,71.771394,t,Earth-New: order on a source that is not available (investment missing),hard
SOURCE_NOT_AVAILABLE,BASE,2039-01-01,130.0,0,130.0,t,Earth-New: order on a source that is not available (investment missing),hard
SOURCE_NOT_AVAILABLE,BASE,2040-01-01,130.0,0,130.0,t,Earth-New: order on a source that is not available (investment missing),hard
RESERVE_45D,BASE,2038-01-01,0.0,30.821918,30.821918,t,opening physical stock below 45-day reserve of the current scenario; contracted capacity is not stock,hard
RESERVE_45D,BASE,2039-01-01,0.0,39.452055,39.452055,t,opening physical stock below 45-day reserve of the current scenario; contracted capacity is not stock,hard
RESERVE_45D,BASE,2040-01-01,0.0,48.082192,48.082192,t,opening physical stock below 45-day reserve of the current scenario; contracted capacity is not stock,hard
BASE_TOTAL_SERVICE,BASE,2038,0.75088,0.97,0.21912,share,annual total service below the case minimum,hard
BASE_TOTAL_SERVICE,BASE,2039,0.625594,0.97,0.344406,share,annual total service below the case minimum,hard
BASE_CRITICAL_SERVICE,BASE,2039,0.953286,0.99,0.036714,share,annual critical service below the case minimum,hard
BASE_TOTAL_SERVICE,BASE,2040,0.670667,0.97,0.299333,share,annual total service below the case minimum,hard
